,State,District,Year,Civilians,Security Forces,Terrorists/Insurgents/Extremists,Not Specified,Total Fatalities,Funds Released,Annual Allocation,Rural Literacy Rate,Geographical area,Very dense forest,Moderately dense forest,Open forest,Total Forest Cover,Actual Rainfall (mm),Ruggedness Minimum,Ruggedness Maximum,Ruggednness Range,Ruggedness Mean,Ruggednness Std. Dev,Ruggedness Sum,Pollution (μg/m3)
686,Orissa,Sambalpur,2013,0,0,0,0,0,12.85,22.08,0.642419025,6657,531,1729,1098,3358,1453.4,0,1113.088989,1113.088989,91.38114826,98.03138867,590687.7423,37.83069762
687,Orissa,Sonepur,2007,0,0,0,0,0,12.22,12.48,0.645253301,2337,3,200,121,324,1719.88,4.690415859,898.5227051,893.8322892,42.9383716,54.90536555,102923.2767,34.97994877
688,Orissa,Sonepur,2008,0,0,0,0,0,8.97,12.48,0.645253301,2337,3,200,121,324,2137.79,4.690415859,898.5227051,893.8322892,42.9383716,54.90536555,102923.2767,38.67561671
689,Orissa,Sonepur,2009,0,0,0,0,0,8.45,12.48,0.645253301,2337,3,200,121,324,1548.84,4.690415859,898.5227051,893.8322892,42.9383716,54.90536555,102923.2767,37.91125404
690,Orissa,Sonepur,2010,0,0,0,0,0,16.51,12.48,0.645253301,2337,3,200,121,324,1024.98,4.690415859,898.5227051,893.8322892,42.9383716,54.90536555,102923.2767,35.34658864
691,Orissa,Sonepur,2011,0,0,0,0,0,12.48,12.48,0.645253301,2337,3,200,121,324,1829.76,4.690415859,898.5227051,893.8322892,42.9383716,54.90536555,102923.2767,35.62548216
692,Orissa,Sonepur,2012,0,0,0,0,0,8.57,12.48,0.645253301,2337,2.5,198,126.5,327,1974.17,4.690415859,898.5227051,893.8322892,42.9383716,54.90536555,102923.2767,34.48154344
693,Orissa,Sonepur,2013,0,0,0,0,0,12.43,15.31,0.645253301,2337,2,196,132,330,1248.92,4.690415859,898.5227051,893.8322892,42.9383716,54.90536555,102923.2767,37.56026298
694,Orissa,Sundargarh,2007,0,0,0,0,0,15.63,20.69,0.577085455,9712,1047,1773,1243,4063,1725.58,0,753.397644,753.397644,95.26605305,92.06157105,928939.2833,36.56110123
695,Orissa,Sundargarh,2008,1,0,0,0,1,5.16,20.69,0.577085455,9712,1046.75,1772.5,1241,4060.25,1539.73,0,753.397644,753.397644,95.26605305,92.06157105,928939.2833,43.03721387
696,Orissa,Sundargarh,2009,2,1,0,0,3,28.83,20.69,0.577085455,9712,1046.5,1772,1239,4057.5,1180.25,0,753.397644,753.397644,95.26605305,92.06157105,928939.2833,41.53655179
697,Orissa,Sundargarh,2010,12,1,4,0,17,20.69,20.69,0.577085455,9712,1046.25,1771.5,1237,4054.75,965.59,0,753.397644,753.397644,95.26605305,92.06157105,928939.2833,37.49844686
698,Orissa,Sundargarh,2011,3,0,4,0,7,22.85,22.85,0.577085455,9712,1046,1771,1235,4052,1788.35,0,753.397644,753.397644,95.26605305,92.06157105,928939.2833,39.51542902
699,Orissa,Sundargarh,2012,1,0,2,0,3,10,22.85,0.577085455,9712,1045,1771,1284,4100,1435.18,0,753.397644,753.397644,95.26605305,92.06157105,928939.2833,37.12391031
700,Orissa,Sundargarh,2013,0,0,0,0,0,17.32,28.02,0.577085455,9712,1044,1771,1333,4148,1537.77,0,753.397644,753.397644,95.26605305,92.06157105,928939.2833,40.07934224
701,West Bengal,Bankura,2007,0,0,0,0,0,19.26,21.85,0.607434679,6882,214,510,332,1056,1825.32,0,124.9319839,124.9319839,17.88500107,10.8580033,123370.7374,42.81808806
702,West Bengal,Bankura,2008,0,0,0,0,0,16.91,21.85,0.607434679,6882,213.75,510,332.25,1056,1400.81,0,124.9319839,124.9319839,17.88500107,10.8580033,123370.7374,45.58254143
703,West Bengal,Bankura,2009,4,3,0,0,7,8.52,21.85,0.607434679,6882,213.5,510,332.5,1056,1294.09,0,124.9319839,124.9319839,17.88500107,10.8580033,123370.7374,47.85857775
704,West Bengal,Bankura,2010,13,1,7,0,21,21.85,21.85,0.607434679,6882,213.25,510,332.75,1056,988.86,0,124.9319839,124.9319839,17.88500107,10.8580033,123370.7374,46.93328774
705,West Bengal,Bankura,2011,0,0,0,0,0,17.16,24.24,0.607434679,6882,213,510,333,1056,1356.47,0,124.9319839,124.9319839,17.88500107,10.8580033,123370.7374,44.14098887
706,West Bengal,Bankura,2012,0,0,0,0,0,31.32,24.24,0.607434679,6882,217.5,437.5,495,1150,1226.06,0,124.9319839,124.9319839,17.88500107,10.8580033,123370.7374,44.5770466
707,West Bengal,Bankura,2013,0,0,0,0,0,16.36,29.73,0.607434679,6882,222,365,657,1244,1621.35,0,124.9319839,124.9319839,17.88500107,10.8580033,123370.7374,48.26625266
708,West Bengal,Birbhum,2007,0,0,0,0,0,17.97,19.86,0.600194041,4545,0,42,63,105,1617.82,1.414213538,80.09369659,78.67948306,15.13403226,8.249332964,68451.22792,43.55008018
709,West Bengal,Birbhum,2008,1,0,0,0,1,14.83,19.86,0.600194041,4545,0,42,63,105,1518.24,1.414213538,80.09369659,78.67948306,15.13403226,8.249332964,68451.22792,48.14307938
710,West Bengal,Birbhum,2009,0,0,0,0,0,19.86,19.86,0.600194041,4545,0,42,63,105,1260.58,1.414213538,80.09369659,78.67948306,15.13403226,8.249332964,68451.22792,50.47218004
711,West Bengal,Birbhum,2010,1,0,0,0,1,19.86,19.86,0.600194041,4545,0,42,63,105,1057.99,1.414213538,80.09369659,78.67948306,15.13403226,8.249332964,68451.22792,49.92742661
712,West Bengal,Birbhum,2011,0,0,0,0,0,21.85,21.85,0.600194041,4545,0,42,63,105,795.2,1.414213538,80.09369659,78.67948306,15.13403226,8.249332964,68451.22792,46.045183
713,West Bengal,Birbhum,2012,0,0,0,0,0,21.85,21.85,0.600194041,4545,0.5,36,104,140.5,744.03,1.414213538,80.09369659,78.67948306,15.13403226,8.249332964,68451.22792,48.16879416
714,West Bengal,Birbhum,2013,0,0,0,0,0,14.92,26.8,0.600194041,4545,1,30,145,176,1363,1.414213538,80.09369659,78.67948306,15.13403226,8.249332964,68451.22792,50.84275572
715,West Bengal,Dakshin_Dinajpur,2007,0,0,0,0,0,13.5,14.88,0.618522744,2219,0,2,13,15,1531.41,1,36.64696503,35.64696503,6.316954372,3.295685248,14408.97292,50.21670338
716,West Bengal,Dakshin_Dinajpur,2008,0,0,0,0,0,10.3,14.88,0.618522744,2219,0,2,13,15,1748.4,1,36.64696503,35.64696503,6.316954372,3.295685248,14408.97292,52.31955459
717,West Bengal,Dakshin_Dinajpur,2009,0,0,0,0,0,7.55,14.88,0.618522744,2219,0,2,13,15,1139.31,1,36.64696503,35.64696503,6.316954372,3.295685248,14408.97292,60.31053062
718,West Bengal,Dakshin_Dinajpur,2010,0,0,0,0,0,22.21,14.88,0.618522744,2219,0,2,13,15,1107.63,1,36.64696503,35.64696503,6.316954372,3.295685248,14408.97292,56.60181816
719,West Bengal,Dakshin_Dinajpur,2011,0,0,0,0,0,15.87,15.87,0.618522744,2219,0,2,13,15,1443.32,1,36.64696503,35.64696503,6.316954372,3.295685248,14408.97292,54.17998064
720,West Bengal,Dakshin_Dinajpur,2012,0,0,0,0,0,15.87,15.87,0.618522744,2219,0,3.5,47.5,51,1710.32,1,36.64696503,35.64696503,6.316954372,3.295685248,14408.97292,64.58047968
721,West Bengal,Dakshin_Dinajpur,2013,0,0,0,0,0,9.01,19.46,0.618522744,2219,0,5,82,87,1070.7,1,36.64696503,35.64696503,6.316954372,3.295685248,14408.97292,54.14807621
722,West Bengal,Jalpaiguri,2007,0,0,0,0,0,15.98,17.64,0.610242507,6227,681,514,1311,2506,3870.01,0,284.1918335,284.1918335,13.76714254,26.18141817,47028.55891,40.35574506
723,West Bengal,Jalpaiguri,2008,0,0,0,0,0,1.76,17.64,0.610242507,6227,681,514,1310.5,2505.5,3804.74,0,284.1918335,284.1918335,13.76714254,26.18141817,47028.55891,41.16591698
724,West Bengal,Jalpaiguri,2009,1,0,0,0,1,11.51,17.64,0.610242507,6227,681,514,1310,2505,3383.5,0,284.1918335,284.1918335,13.76714254,26.18141817,47028.55891,48.89522008
725,West Bengal,Jalpaiguri,2010,0,0,0,0,0,17.64,17.64,0.610242507,6227,681,514,1309.5,2504.5,4125.26,0,284.1918335,284.1918335,13.76714254,26.18141817,47028.55891,42.04705788
726,West Bengal,Jalpaiguri,2011,0,0,0,0,0,19.18,19.18,0.610242507,6227,681,514,1309,2504,3056.36,0,284.1918335,284.1918335,13.76714254,26.18141817,47028.55891,40.39937117
727,West Bengal,Jalpaiguri,2012,0,0,0,0,0,19.18,19.18,0.610242507,6227,700.5,477,1506,2683.5,3940.86,0,284.1918335,284.1918335,13.76714254,26.18141817,47028.55891,50.6268229
728,West Bengal,Jalpaiguri,2013,0,0,0,0,0,11.88,23.52,0.610242507,6227,720,440,1703,2863,3185.47,0,284.1918335,284.1918335,13.76714254,26.18141817,47028.55891,43.54223001
729,West Bengal,Malda,2007,0,0,0,0,0,19.8,21.88,0.502345247,3733,0,113,51,164,1399.47,0,79.86864471,79.86864471,11.47042149,8.524122567,41717.92297,50.66672092
730,West Bengal,Malda,2008,0,0,0,0,0,16.4,21.88,0.502345247,3733,0,113,51,164,1644.68,0,79.86864471,79.86864471,11.47042149,8.524122567,41717.92297,53.85605867
731,West Bengal,Malda,2009,0,0,0,0,0,8.43,21.88,0.502345247,3733,0,113,51,164,1479.03,0,79.86864471,79.86864471,11.47042149,8.524122567,41717.92297,59.85870934
732,West Bengal,Malda,2010,0,0,0,0,0,35.33,21.88,0.502345247,3733,0,113,51,164,1111.35,0,79.86864471,79.86864471,11.47042149,8.524122567,41717.92297,58.82724178
733,West Bengal,Malda,2011,0,0,0,0,0,24.28,24.28,0.502345247,3733,0,113,51,164,1324.74,0,79.86864471,79.86864471,11.47042149,8.524122567,41717.92297,54.18574345
734,West Bengal,Malda,2012,0,0,0,0,0,24.28,24.28,0.502345247,3733,0,163.5,170.5,334,1004.31,0,79.86864471,79.86864471,11.47042149,8.524122567,41717.92297,62.53497733
735,West Bengal,Malda,2013,0,0,0,0,0,5,29.78,0.502345247,3733,0,214,290,504,1231.42,0,79.86864471,79.86864471,11.47042149,8.524122567,41717.92297,56.33853354
736,West Bengal,Medinipur,2007,3,0,0,0,3,35.91,51.54,0.722189532,14081,255,1169,1171,2595,4602.86,0,323.8890915,323.8890915,20.33828854,13.70330025,155320.7894,74.9233594
737,West Bengal,Medinipur,2008,12,1,1,0,14,28.73,51.54,0.722189532,14081,254.5,1169.5,1171.25,2595.25,3444.24,0,323.8890915,323.8890915,20.33828854,13.70330025,155320.7894,81.12783537
738,West Bengal,Medinipur,2009,119,8,9,2,138,36.25,51.54,0.722189532,14081,254,1170,1171.5,2595.5,2696.12,0,323.8890915,323.8890915,20.33828854,13.70330025,155320.7894,85.76133605
739,West Bengal,Medinipur,2010,278,34,47,6,365,51.54,51.54,0.722189532,14081,253.5,1170.5,1171.75,2595.75,2465.49,0,323.8890915,323.8890915,20.33828854,13.70330025,155320.7894,81.74740882
740,West Bengal,Medinipur,2011,18,1,10,0,29,12.34,57.91,0.722189532,14081,253,1171,1172,2596,3247.34,0,323.8890915,323.8890915,20.33828854,13.70330025,155320.7894,77.29039104
741,West Bengal,Medinipur,2012,2,2,2,0,6,67.65,57.91,0.722189532,14081,235.5,986.5,1568,2790,2235.86,0,323.8890915,323.8890915,20.33828854,13.70330025,155320.7894,79.98076908
